# The following table is formatted as tab separated values. 																							
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LQ108_RS00425	gene-LQ108_RS00425	TRANSCRIPT_gene-LQ108_RS00425	protein_coding	0	1	0	95	0	0	0	0	49	0	0	0	0	0	0	0	0	0	1	46
LQ108_RS00430	gene-LQ108_RS00430	TRANSCRIPT_gene-LQ108_RS00430	protein_coding	0	9	6	81	0	0	0	0	40	0	0	6	0	0	0	0	0	0	9	41
LQ108_RS00435	gene-LQ108_RS00435	TRANSCRIPT_gene-LQ108_RS00435	protein_coding	0	7	1	80	0	0	0	0	40	0	0	1	0	0	0	0	0	0	7	40
LQ108_RS00440	gene-LQ108_RS00440	TRANSCRIPT_gene-LQ108_RS00440	protein_coding	0	13	5	94	0	0	0	0	44	0	0	5	0	0	0	0	0	0	13	50
LQ108_RS00445	gene-LQ108_RS00445	TRANSCRIPT_gene-LQ108_RS00445	protein_coding	0	3	1	98	0	0	0	0	43	0	0	1	0	0	0	0	0	0	3	55
LQ108_RS00450	gene-LQ108_RS00450	TRANSCRIPT_gene-LQ108_RS00450	protein_coding	0	7	0	98	0	0	0	0	46	0	0	0	0	0	0	0	0	0	7	52
LQ108_RS00455	gene-LQ108_RS00455	TRANSCRIPT_gene-LQ108_RS00455	protein_coding	0	2	2	104	0	0	0	0	49	0	0	2	0	0	0	0	0	0	2	55
LQ108_RS00460	gene-LQ108_RS00460	TRANSCRIPT_gene-LQ108_RS00460	protein_coding	0	2	3	101	0	0	0	0	64	0	0	3	0	0	0	0	0	0	2	37
LQ108_RS00465	gene-LQ108_RS00465	TRANSCRIPT_gene-LQ108_RS00465	protein_coding	0	3	3	110	0	0	0	0	73	0	0	3	0	0	0	0	0	0	3	37
LQ108_RS00470	gene-LQ108_RS00470	TRANSCRIPT_gene-LQ108_RS00470	protein_coding	0	11	5	93	0	0	0	0	55	0	0	5	0	0	0	0	0	0	11	38
LQ108_RS00475	gene-LQ108_RS00475	TRANSCRIPT_gene-LQ108_RS00475	protein_coding	0	6	4	95	0	0	0	0	45	0	0	4	0	0	0	0	0	0	6	50
LQ108_RS00480	gene-LQ108_RS00480	TRANSCRIPT_gene-LQ108_RS00480	protein_coding	0	3	3	87	0	0	0	0	33	0	0	3	0	0	0	0	0	0	3	54
LQ108_RS00485	gene-LQ108_RS00485	TRANSCRIPT_gene-LQ108_RS00485	protein_coding	0	0	0	94	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	36
LQ108_RS00490	gene-LQ108_RS00490	TRANSCRIPT_gene-LQ108_RS00490	protein_coding	0	11	8	72	0	0	0	0	46	0	0	8	0	0	0	0	0	0	11	26
LQ108_RS00495	gene-LQ108_RS00495	TRANSCRIPT_gene-LQ108_RS00495	protein_coding	0	10	0	84	0	0	0	0	17	0	0	0	0	0	0	0	0	0	10	67
LQ108_RS00500	gene-LQ108_RS00500	TRANSCRIPT_gene-LQ108_RS00500	protein_coding	0	0	0	124	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	50
LQ108_RS00505	gene-LQ108_RS00505	TRANSCRIPT_gene-LQ108_RS00505	protein_coding	0	0	0	98	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	53
LQ108_RS00510	gene-LQ108_RS00510	TRANSCRIPT_gene-LQ108_RS00510	protein_coding	0	0	0	103	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	60
LQ108_RS00515	gene-LQ108_RS00515	rna-LQ108_RS00515	protein_coding	0	0	0	98	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	65
LQ108_RS00525	gene-LQ108_RS00525	TRANSCRIPT_gene-LQ108_RS00525	protein_coding	0	14	2	90	0	0	0	0	43	0	0	2	0	0	0	0	0	0	14	47
LQ108_RS00530	gene-LQ108_RS00530	TRANSCRIPT_gene-LQ108_RS00530	protein_coding	0	17	1	101	0	0	0	0	59	0	0	1	0	0	0	0	0	0	17	42
LQ108_RS00570	gene-LQ108_RS00570	TRANSCRIPT_gene-LQ108_RS00570	protein_coding	0	4	0	92	0	0	0	0	42	0	0	0	0	0	0	0	0	0	4	50
LQ108_RS00575	gene-LQ108_RS00575	TRANSCRIPT_gene-LQ108_RS00575	protein_coding	0	7	0	86	0	0	0	0	45	0	0	0	0	0	0	0	0	0	7	41
LQ108_RS00630	gene-LQ108_RS00630	TRANSCRIPT_gene-LQ108_RS00630	protein_coding	0	6	2	63	0	0	0	0	31	0	0	2	0	0	0	0	0	0	6	32
LQ108_RS00640	gene-LQ108_RS00640	TRANSCRIPT_gene-LQ108_RS00640	protein_coding	0	8	2	81	0	0	0	0	32	0	0	2	0	0	0	0	0	0	8	49
LQ108_RS00645	gene-LQ108_RS00645	TRANSCRIPT_gene-LQ108_RS00645	protein_coding	0	2	0	103	0	0	0	0	39	0	0	0	0	0	0	0	0	0	2	64
LQ108_RS00650	gene-LQ108_RS00650	TRANSCRIPT_gene-LQ108_RS00650	protein_coding	0	5	1	105	0	0	0	0	40	0	0	1	0	0	0	0	0	0	5	65
LQ108_RS00660	gene-LQ108_RS00660	TRANSCRIPT_gene-LQ108_RS00660	protein_coding	0	10	2	105	0	0	0	0	73	0	0	2	0	0	0	0	0	0	10	32
LQ108_RS00665	gene-LQ108_RS00665	TRANSCRIPT_gene-LQ108_RS00665	protein_coding	0	21	11	98	0	0	0	0	35	0	0	11	0	0	0	0	0	0	21	63
LQ108_RS00670	gene-LQ108_RS00670	TRANSCRIPT_gene-LQ108_RS00670	protein_coding	0	5	3	124	0	0	0	0	61	0	0	3	0	0	0	0	0	0	5	63
LQ108_RS00675	gene-LQ108_RS00675	TRANSCRIPT_gene-LQ108_RS00675	protein_coding	0	7	1	135	0	0	0	0	66	0	0	1	0	0	0	0	0	0	7	69
LQ108_RS00705	gene-LQ108_RS00705	TRANSCRIPT_gene-LQ108_RS00705	protein_coding	0	3	3	122	0	0	0	0	74	0	0	3	0	0	0	0	0	0	3	48
LQ108_RS00710	gene-LQ108_RS00710	TRANSCRIPT_gene-LQ108_RS00710	protein_coding	0	12	2	105	0	0	0	0	62	0	0	2	0	0	0	0	0	0	12	43
LQ108_RS00715	gene-LQ108_RS00715	TRANSCRIPT_gene-LQ108_RS00715	protein_coding	0	6	3	83	0	0	0	0	37	0	0	3	0	0	0	0	0	0	6	46
LQ108_RS00720	gene-LQ108_RS00720	TRANSCRIPT_gene-LQ108_RS00720	protein_coding	0	9	2	85	0	0	0	0	50	0	0	2	0	0	0	0	0	0	9	35
LQ108_RS00735	gene-LQ108_RS00735	TRANSCRIPT_gene-LQ108_RS00735	protein_coding	0	2	0	79	0	0	0	0	36	0	0	0	0	0	0	0	0	0	2	43
LQ108_RS00765	gene-LQ108_RS00765	TRANSCRIPT_gene-LQ108_RS00765	protein_coding	0	10	1	66	0	0	0	0	29	0	0	1	0	0	0	0	0	0	10	37
LQ108_RS00785	gene-LQ108_RS00785	TRANSCRIPT_gene-LQ108_RS00785	protein_coding	0	0	0	42	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	37
LQ108_RS00790	gene-LQ108_RS00790	TRANSCRIPT_gene-LQ108_RS00790	protein_coding	0	0	0	38	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30
LQ108_RS00795	gene-LQ108_RS00795	TRANSCRIPT_gene-LQ108_RS00795	protein_coding	0	0	0	51	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	25
LQ108_RS00800	gene-LQ108_RS00800	TRANSCRIPT_gene-LQ108_RS00800	protein_coding	0	0	0	37	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	2
LQ108_RS00805	gene-LQ108_RS00805	TRANSCRIPT_gene-LQ108_RS00805	protein_coding	0	3	1	33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	33
LQ108_RS00820	gene-LQ108_RS00820	TRANSCRIPT_gene-LQ108_RS00820	protein_coding	0	11	0	64	0	0	0	0	15	0	0	0	0	0	0	0	0	0	11	49
LQ108_RS00825	gene-LQ108_RS00825	TRANSCRIPT_gene-LQ108_RS00825	protein_coding	0	2	0	81	0	0	0	0	47	0	0	0	0	0	0	0	0	0	2	34
LQ108_RS00830	gene-LQ108_RS00830	TRANSCRIPT_gene-LQ108_RS00830	protein_coding	0	12	0	72	0	0	0	0	38	0	0	0	0	0	0	0	0	0	12	34
LQ108_RS00835	gene-LQ108_RS00835	TRANSCRIPT_gene-LQ108_RS00835	protein_coding	0	3	0	81	0	0	0	0	41	0	0	0	0	0	0	0	0	0	3	40
LQ108_RS00855	gene-LQ108_RS00855	TRANSCRIPT_gene-LQ108_RS00855	protein_coding	0	8	1	82	0	0	0	0	41	0	0	1	0	0	0	0	0	0	8	41
LQ108_RS00860	gene-LQ108_RS00860	TRANSCRIPT_gene-LQ108_RS00860	protein_coding	0	2	1	85	0	0	0	0	45	0	0	1	0	0	0	0	0	0	2	40
LQ108_RS00865	gene-LQ108_RS00865	TRANSCRIPT_gene-LQ108_RS00865	protein_coding	0	0	0	79	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	37
LQ108_RS00870	gene-LQ108_RS00870	TRANSCRIPT_gene-LQ108_RS00870	protein_coding	0	0	0	80	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	33
LQ108_RS00875	gene-LQ108_RS00875	TRANSCRIPT_gene-LQ108_RS00875	protein_coding	0	25	1	66	0	0	0	0	29	0	0	1	0	0	0	0	0	0	25	37
LQ108_RS00880	gene-LQ108_RS00880	TRANSCRIPT_gene-LQ108_RS00880	protein_coding	0	9	0	91	0	0	0	0	45	0	0	0	0	0	0	0	0	0	9	46
LQ108_RS00885	gene-LQ108_RS00885	TRANSCRIPT_gene-LQ108_RS00885	protein_coding	0	4	0	90	0	0	0	0	46	0	0	0	0	0	0	0	0	0	4	44
LQ108_RS00895	gene-LQ108_RS00895	TRANSCRIPT_gene-LQ108_RS00895	protein_coding	0	5	0	108	0	0	0	0	45	0	0	0	0	0	0	0	0	0	5	63
LQ108_RS00905	gene-LQ108_RS00905	TRANSCRIPT_gene-LQ108_RS00905	protein_coding	0	7	5	98	0	0	0	0	41	0	0	5	0	0	0	0	0	0	7	57
LQ108_RS00910	gene-LQ108_RS00910	TRANSCRIPT_gene-LQ108_RS00910	protein_coding	0	11	1	106	0	0	0	0	43	0	0	1	0	0	0	0	0	0	11	63
LQ108_RS00915	gene-LQ108_RS00915	TRANSCRIPT_gene-LQ108_RS00915	protein_coding	0	13	8	91	0	0	0	0	46	0	0	8	0	0	0	0	0	0	13	45
LQ108_RS00920	gene-LQ108_RS00920	TRANSCRIPT_gene-LQ108_RS00920	protein_coding	0	5	5	101	0	0	0	0	59	0	0	5	0	0	0	0	0	0	5	42
LQ108_RS00935	gene-LQ108_RS00935	TRANSCRIPT_gene-LQ108_RS00935	protein_coding	0	4	1	110	0	0	0	0	55	0	0	1	0	0	0	0	0	0	4	55
LQ108_RS00945	gene-LQ108_RS00945	TRANSCRIPT_gene-LQ108_RS00945	protein_coding	0	13	3	117	0	0	0	0	59	0	0	3	0	0	0	0	0	0	13	58
LQ108_RS00950	gene-LQ108_RS00950	TRANSCRIPT_gene-LQ108_RS00950	protein_coding	0	12	2	100	0	0	0	0	52	0	0	2	0	0	0	0	0	0	12	48
LQ108_RS00965	gene-LQ108_RS00965	TRANSCRIPT_gene-LQ108_RS00965	protein_coding	0	9	3	109	0	0	0	0	62	0	0	3	0	0	0	0	0	0	9	47
LQ108_RS00985	gene-LQ108_RS00985	TRANSCRIPT_gene-LQ108_RS00985	protein_coding	0	5	1	102	0	0	0	0	55	0	0	1	0	0	0	0	0	0	5	47
LQ108_RS00990	gene-LQ108_RS00990	TRANSCRIPT_gene-LQ108_RS00990	protein_coding	0	9	4	96	0	0	0	0	49	0	0	4	0	0	0	0	0	0	9	47
LQ108_RS00995	gene-LQ108_RS00995	TRANSCRIPT_gene-LQ108_RS00995	protein_coding	0	8	3	108	0	0	0	0	52	0	0	3	0	0	0	0	0	0	8	56
LQ108_RS01000	gene-LQ108_RS01000	TRANSCRIPT_gene-LQ108_RS01000	protein_coding	0	2	0	113	0	0	0	0	60	0	0	0	0	0	0	0	0	0	2	53
LQ108_RS01015	gene-LQ108_RS01015	TRANSCRIPT_gene-LQ108_RS01015	protein_coding	0	16	10	84	0	0	0	0	32	0	0	10	0	0	0	0	0	0	16	52
LQ108_RS01020	gene-LQ108_RS01020	TRANSCRIPT_gene-LQ108_RS01020	protein_coding	0	1	0	93	0	0	0	0	60	0	0	0	0	0	0	0	0	0	1	33
LQ108_RS01025	gene-LQ108_RS01025	TRANSCRIPT_gene-LQ108_RS01025	protein_coding	0	1	0	100	0	0	0	0	42	0	0	0	0	0	0	0	0	0	1	58
LQ108_RS01040	gene-LQ108_RS01040	TRANSCRIPT_gene-LQ108_RS01040	protein_coding	0	9	1	94	0	0	0	0	41	0	0	1	0	0	0	0	0	0	9	53
LQ108_RS01045	gene-LQ108_RS01045	TRANSCRIPT_gene-LQ108_RS01045	protein_coding	0	5	5	90	0	0	0	0	39	0	0	5	0	0	0	0	0	0	5	51
LQ108_RS01050	gene-LQ108_RS01050	TRANSCRIPT_gene-LQ108_RS01050	protein_coding	0	8	1	82	0	0	0	0	34	0	0	1	0	0	0	0	0	0	8	48
LQ108_RS01055	gene-LQ108_RS01055	TRANSCRIPT_gene-LQ108_RS01055	protein_coding	0	12	2	80	0	0	0	0	41	0	0	2	0	0	0	0	0	0	12	39
LQ108_RS01060	gene-LQ108_RS01060	TRANSCRIPT_gene-LQ108_RS01060	protein_coding	0	4	1	91	0	0	0	0	49	0	0	1	0	1	0	0	0	1	3	42
LQ108_RS01065	gene-LQ108_RS01065	TRANSCRIPT_gene-LQ108_RS01065	protein_coding	0	19	3	87	0	0	0	0	36	0	0	3	0	0	0	0	0	0	19	51
LQ108_RS01070	gene-LQ108_RS01070	TRANSCRIPT_gene-LQ108_RS01070	protein_coding	0	5	0	84	0	0	0	0	51	0	0	0	0	0	0	0	0	0	5	33
LQ108_RS01080	gene-LQ108_RS01080	TRANSCRIPT_gene-LQ108_RS01080	protein_coding	0	2	0	82	0	0	0	0	35	0	0	0	0	0	0	0	0	0	2	47
LQ108_RS01085	gene-LQ108_RS01085	TRANSCRIPT_gene-LQ108_RS01085	protein_coding	0	12	1	73	0	0	0	0	32	0	0	1	0	0	0	0	0	0	12	41
LQ108_RS01095	gene-LQ108_RS01095	rna-LQ108_RS01095	protein_coding	0	0	0	72	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	35
LQ108_RS01130	gene-LQ108_RS01130	rna-LQ108_RS01130	protein_coding	0	0	0	52	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	44
LQ108_RS01135	gene-LQ108_RS01135	rna-LQ108_RS01135	protein_coding	0	0	0	52	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	44
LQ108_RS01140	gene-LQ108_RS01140	rna-LQ108_RS01140	protein_coding	0	0	0	49	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	41
LQ108_RS01145	gene-LQ108_RS01145	rna-LQ108_RS01145	protein_coding	0	0	0	47	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	39
LQ108_RS01195	gene-LQ108_RS01195	TRANSCRIPT_gene-LQ108_RS01195	protein_coding	0	6	0	67	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6	53
